kic,source_id,sdss_g,parallax,parallax_error,Ag_Green_2017,Ag_Green_2017_sigma,Teffi,e_Teffi,FeHi,e_FeHi,new_logg,new_logg_std,new_radius,new_r_std,new_mass,new_mass_std,mass_qflag,loglbol_g_median,loglbol_sigp,loglbol_sigm,dSct
6289782,2077620786554374016,14.857,0.661,0.022,0.21,0.03,6861,240,-0.25,0.3,4.37,0.12,1.19,0.1,1.22,0.25,5,0.449,0.035,0.035,0
6289991,2077619721402490496,15.223,0.424,0.022,0.27,0.02,6580,214,-0.15,0.3,4.05,0.12,1.79,0.16,1.32,0.25,0,0.734,0.05,0.048,0
6290377,2077607386256505088,14.729,0.604,0.021,0.25,0.04,6517,193,-0.13,0.3,4.13,0.11,1.6,0.12,1.24,0.25,0,0.619,0.038,0.037,0
6290411,2077607141435004416,12.315,0.874,0.025,0.17,0.02,7482,261,0.13,0.3,3.95,0.1,2.25,0.18,1.66,0.25,0,1.156,0.031,0.031,1
6290491,2077607111378600832,15.422,0.285,0.024,0.3,0.03,6561,210,-0.13,0.3,3.8,0.13,2.5,0.3,1.48,0.25,0,1.02,0.08,0.074,0
6290589,2077605771348839040,12.416,0.745,0.026,0.22,0.03,8584,300,0.18,0.3,4.13,0.09,1.92,0.16,1.82,0.25,0,1.255,0.037,0.036,0
6290648,2077605702629364992,13.934,0.543,0.016,0.25,0.03,7981,279,0.23,0.3,4.26,0.1,1.54,0.12,1.56,0.25,1,0.936,0.033,0.033,1
6311924,2075346721637929984,10.604,2.564,0.024,0.26,0.07,6738,235,-0.32,0.3,3.9,0.1,2.32,0.19,1.51,0.25,0,0.999,0.034,0.034,0
6290877,2077605977507343360,14.146,0.468,0.02,0.26,0.03,8031,281,-0.03,0.3,4.22,0.1,1.61,0.14,1.59,0.25,0,0.989,0.044,0.042,1
6290908,2077605118513866112,13.193,0.727,0.021,0.23,0.03,7271,254,-0.24,0.3,4.01,0.1,2.03,0.16,1.55,0.25,0,1.015,0.033,0.032,2
6291473,2077423527299215104,13.75,0.749,0.02,0.34,0.04,7308,270,-0.15,0.3,4.2,0.11,1.57,0.13,1.42,0.25,0,0.804,0.032,0.032,2
6292193,2077515130360566784,14.259,1.044,0.016,0.26,0.03,6577,206,-0.35,0.3,4.4,0.12,1.1,0.07,1.14,0.25,5,0.312,0.021,0.021,0
6292374,2077514237007384448,14.756,0.738,0.019,0.23,0.03,6702,234,-0.19,0.3,4.35,0.12,1.19,0.1,1.18,0.25,2,0.411,0.03,0.03,0
6292452,2077502309872447872,12.201,0.847,0.024,0.22,0.03,6965,80,0.15,0.15,3.73,0.07,2.98,0.13,1.75,0.25,0,1.273,0.032,0.031,0
6292591,2077502176739234304,16.051,0.383,0.032,0.26,0.03,6657,233,-0.32,0.3,4.26,0.14,1.34,0.15,1.2,0.25,1,0.501,0.079,0.073,0
6292687,2077502928352652288,15.276,0.46,0.025,0.24,0.02,6502,209,-0.11,0.3,4.1,0.12,1.64,0.15,1.25,0.25,0,0.634,0.052,0.05,0
6292949,2077503104452213760,13.192,1.518,0.02,0.16,0.03,6575,189,-0.14,0.3,4.35,0.11,1.19,0.07,1.15,0.25,2,0.38,0.022,0.022,0
6293045,2077503241891185664,12.315,1.221,0.024,0.19,0.04,7221,230,-0.14,0.3,4.1,0.1,1.77,0.12,1.46,0.25,0,0.885,0.022,0.022,0
6293266,2077500763684216704,12.059,0.886,0.023,0.21,0.03,8218,80,-0.24,0.15,4.05,0.07,2.08,0.08,1.78,0.25,0,1.251,0.03,0.03,1
6293287,2077500385727097600,13.271,0.885,0.017,0.18,0.02,6702,198,0.11,0.3,4.03,0.1,1.88,0.12,1.37,0.25,0,0.808,0.025,0.024,0
6293407,2077500424392665728,14.561,0.549,0.018,0.2,0.02,6681,233,-0.03,0.3,4.08,0.11,1.73,0.13,1.32,0.25,0,0.73,0.034,0.033,0
6293759,2077505848925494400,12.781,0.884,0.024,0.22,0.03,6682,202,-0.46,0.3,3.84,0.1,2.47,0.18,1.54,0.25,0,1.039,0.031,0.03,0
6293941,2077457371639403904,14.19,1.044,0.017,0.16,0.03,6611,197,-0.49,0.3,4.42,0.11,1.09,0.07,1.14,0.25,5,0.308,0.021,0.021,0
6294018,2077458638644980096,10.772,2.234,0.025,0.13,0.02,6743,181,-0.38,0.3,3.89,0.09,2.28,0.14,1.5,0.25,0,0.987,0.019,0.02,0
6294244,2077459261425054080,14.703,0.911,0.02,0.22,0.02,6630,232,-0.21,0.3,4.47,0.13,1.01,0.08,1.11,0.25,5,0.25,0.026,0.026,0
6294343,2077456134688860672,15.753,0.537,0.029,0.34,0.02,6712,234,0.12,0.3,4.43,0.13,1.08,0.1,1.14,0.25,5,0.326,0.052,0.05,0
6294556,2077456306487567232,13.85,0.435,0.015,0.36,0.02,8865,310,0.07,0.3,4.23,0.1,1.71,0.14,1.81,0.25,0,1.212,0.036,0.035,1
6294889,2077479254487998976,11.504,0.952,0.036,0.27,0.06,8528,298,-0.06,0.3,3.98,0.09,2.38,0.21,1.95,0.25,0,1.43,0.043,0.042,1
6295264,2077467748280897152,12.555,1.98,0.028,0.19,0.04,6550,180,-0.18,0.3,4.3,0.11,1.26,0.07,1.14,0.25,1,0.417,0.024,0.024,0
6295476,2077469088310719488,14.232,0.664,0.042,0.34,0.02,6639,196,-0.29,0.3,4.03,0.12,1.85,0.17,1.34,0.25,0,0.778,0.061,0.058,0
6300837,2077044676823729152,13.609,0.724,0.015,0.39,0.02,7282,280,-0.68,0.3,4.09,0.11,1.82,0.15,1.48,0.25,0,0.922,0.026,0.026,0
6301132,2077046738408084096,12.281,0.943,0.026,0.41,0.02,7583,80,-0.23,0.15,3.94,0.07,2.32,0.1,1.7,0.25,0,1.204,0.031,0.03,1
6301287,2077046119932807680,14.126,0.889,0.017,0.41,0.05,6670,226,-0.5,0.3,4.2,0.12,1.46,0.11,1.24,0.25,0,0.581,0.031,0.031,0
6301745,2077042924477425536,10.939,2.727,0.03,0.15,0.04,6740,134,-0.44,0.15,4.07,0.09,1.77,0.08,1.34,0.25,0,0.766,0.024,0.024,2
6301965,2077041996764231552,14.482,0.39,0.022,0.47,0.07,7102,248,-0.26,0.3,3.86,0.11,2.49,0.24,1.64,0.25,0,1.153,0.061,0.059,0
6302177,2077048662553504256,14.549,0.637,0.024,0.37,0.05,6861,240,-0.13,0.3,4.18,0.12,1.52,0.13,1.3,0.25,0,0.665,0.041,0.04,0
6302576,2076860542989017216,14.623,0.399,0.022,0.53,0.03,7225,252,-0.19,0.3,3.94,0.11,2.23,0.21,1.6,0.25,0,1.087,0.054,0.051,0
6302589,2076860611708501120,12.741,0.862,0.029,0.42,0.03,7690,269,-0.08,0.3,4.05,0.1,1.97,0.16,1.62,0.25,0,1.089,0.036,0.036,1
6302655,2076862119231731968,13.128,0.612,0.028,0.46,0.03,7961,80,-0.04,0.15,4.0,0.08,2.2,0.12,1.75,0.25,0,1.242,0.045,0.044,1
6302810,2076861230183806720,14.529,0.663,0.021,0.43,0.03,6923,242,-0.22,0.3,4.2,0.11,1.49,0.12,1.31,0.25,1,0.66,0.035,0.034,0
6302829,2076859443477394816,12.284,1.075,0.029,0.35,0.04,6651,232,-0.2,0.3,3.75,0.1,2.68,0.2,1.48,0.25,0,1.103,0.025,0.025,0
6302903,2076861122798736256,14.049,0.703,0.019,0.47,0.04,6847,224,-0.19,0.3,4.05,0.11,1.83,0.14,1.39,0.25,0,0.822,0.034,0.033,0
6303119,2076861505061758080,13.853,1.114,0.019,0.43,0.05,6703,212,-0.16,0.3,4.3,0.11,1.28,0.09,1.2,0.25,2,0.477,0.025,0.026,0
6303235,2076857794209999872,14.922,0.899,0.024,0.38,0.04,6528,228,-0.49,0.3,4.44,0.13,1.05,0.08,1.1,0.25,5,0.253,0.033,0.033,0
6304002,2076939810903811328,14.083,0.49,0.016,0.7,0.05,6784,227,-0.03,0.3,3.71,0.1,2.92,0.24,1.58,0.25,0,1.213,0.038,0.038,0
6304869,2076936959045640064,12.78,1.695,0.025,0.48,0.05,6575,190,-0.13,0.3,4.16,0.11,1.5,0.1,1.22,0.25,0,0.577,0.026,0.027,0
6305211,2076936478009363328,14.628,0.27,0.02,0.71,0.1,7060,247,-0.16,0.3,3.54,0.12,3.8,0.45,1.86,0.25,0,1.509,0.079,0.076,0
6305324,2076889473885736192,14.296,0.874,0.016,0.53,0.05,6528,228,-0.4,0.3,4.15,0.12,1.53,0.12,1.22,0.25,0,0.585,0.031,0.031,0
6305564,2076895418120536832,12.261,1.662,0.024,0.35,0.06,6657,192,-0.07,0.3,4.06,0.1,1.76,0.12,1.32,0.25,0,0.74,0.032,0.032,0
6305572,2076895452480280576,13.75,0.283,0.016,0.76,0.05,9353,327,0.08,0.3,3.85,0.11,3.06,0.3,2.38,0.25,0,1.81,0.057,0.054,0
6305644,2076895933516844800,12.249,1.299,0.023,0.51,0.04,6648,200,-0.08,0.3,3.85,0.09,2.42,0.16,1.52,0.25,0,1.014,0.025,0.025,0
6306896,2076915965244539264,8.894,4.278,0.046,0.14,0.06,6957,183,-0.06,0.3,3.81,0.09,2.66,0.17,1.66,0.25,0,1.174,0.029,0.029,0
6306941,2076915896525061632,14.156,0.989,0.016,0.83,0.12,6743,237,0.01,0.3,4.2,0.12,1.47,0.13,1.26,0.25,1,0.603,0.05,0.05,0
6307243,2076903973695892608,10.829,1.253,0.034,0.4,0.06,9032,316,-0.09,0.3,4.02,0.09,2.33,0.18,2.06,0.25,0,1.512,0.032,0.032,0
6307405,2076903350917582976,13.214,0.898,0.023,0.77,0.11,6508,205,-0.47,0.3,3.73,0.11,2.76,0.24,1.48,0.25,0,1.09,0.053,0.053,0
6307459,2076906030977173376,9.685,4.491,0.027,0.13,0.04,6647,198,-0.16,0.3,3.99,0.1,1.97,0.13,1.38,0.25,0,0.832,0.024,0.024,0
6307569,2076905004488101376,13.432,0.887,0.015,0.89,0.09,6517,185,-0.61,0.3,3.75,0.11,2.65,0.2,1.44,0.25,0,1.057,0.044,0.044,0
6307912,2076902564946734592,13.909,1.084,0.017,0.7,0.06,6715,220,-0.4,0.3,4.2,0.11,1.46,0.11,1.25,0.25,0,0.594,0.03,0.03,0
6308416,2076907718907558016,10.427,0.878,0.03,0.81,0.16,9376,328,-0.08,0.3,3.54,0.1,4.63,0.53,2.74,0.25,0,2.175,0.074,0.074,1
6308793,2073904299823789952,13.794,1.222,0.016,0.44,0.09,6622,210,-0.2,0.3,4.32,0.12,1.26,0.1,1.18,0.25,2,0.436,0.041,0.041,0
6309129,2073906086530270336,10.202,1.842,0.027,0.31,0.06,7724,270,-0.25,0.3,3.82,0.09,2.77,0.22,1.88,0.25,0,1.392,0.03,0.03,0
6310017,2075403552647524736,12.164,2.175,0.022,0.27,0.1,6598,184,-0.21,0.3,4.22,0.12,1.39,0.11,1.2,0.25,0,0.521,0.044,0.043,0
6310397,2075390805184025600,12.14,1.272,0.025,0.46,0.14,7321,256,-0.24,0.3,4.01,0.11,2.02,0.19,1.55,0.25,0,1.024,0.058,0.058,0
6310414,2075393107277646976,10.018,0.939,0.032,0.73,0.04,9646,337,0.0,0.3,3.51,0.08,4.87,0.4,2.84,0.25,0,2.267,0.038,0.038,0
6310627,2075392076494412288,13.307,0.633,0.018,0.86,0.06,6623,208,-0.32,0.3,3.54,0.1,3.63,0.29,1.7,0.25,0,1.359,0.04,0.04,1
