,kic,Type,dSct,gdor
1070,6587551,DSCT,1.0,
1071,6590403,DSCT,1.0,
1072,6593488,DSCT,1.0,
1073,6595315,DSCT,1.0,
1074,6595406,GDORM,2.0,1.0
1075,6595406,GDORM,2.0,1.0
1076,6604303,DSCT,1.0,1.0
1077,6606229,DSCT,1.0,
1078,6612114,GDORA,,
1079,6612353,DSCT/ROT,1.0,
1080,6613627,DSCT/ROT,,
1081,6614168,DSCT,1.0,1.0
1082,6621643,GDORS/ROT,,
1083,6629106,DSCT,1.0,
1084,6632945,GDORM,,
1085,6633452,DSCT/ROT,1.0,
1086,6635026,DSCT/ROT,1.0,
1087,6636041,DSCT,1.0,
1088,6668729,DSCT,1.0,
1089,6670742,DSCT,1.0,
1090,6670894,GDORM,,
1091,6671321,DSCT,,
1092,6675944,DSCT,1.0,
1093,6678614,DSCT/ROT,1.0,
1094,6681516,GDORA,,1.0
1095,6691244,DSCT,1.0,
1096,6696689,GDORA,,1.0
1097,6696689,GDORA,,1.0
1098,6697128,DSCT/ROT,1.0,
1099,6697609,DSCT,,
1100,6706038,DSCT,2.0,1.0
1101,6706038,DSCT,2.0,1.0
1102,6707493,DSCT/EB,1.0,
1103,6715331,GDORM,1.0,
1104,6716670,DSCT,1.0,
1105,6720889,DSCT,1.0,1.0
1106,6721523,GDORM,,
1107,6756386,DSCT,1.0,
1108,6756481,DSCT,1.0,
1109,6761539,DSCT,1.0,
1110,6762992,DSCT,1.0,1.0
1111,6776331,DSCT,1.0,
1112,6777127,DSCT/MAIA,,
1113,6777538,GDORM,,
1114,6777669,GDORS,,1.0
1115,6778063,DSCT/ROT,1.0,1.0
1116,6780873,DSCT,1.0,
1117,6782360,GDORA,,1.0
1118,6783879,DSCT,1.0,
1119,6784155,DSCT,1.0,1.0
1120,6784170,GDORS,,1.0
1121,6784170,GDORS,,1.0
1122,6790335,DSCT,1.0,
1123,6790408,GDORS,,1.0
1124,6792983,DSCT/ROT,1.0,
1125,6793409,DSCT,1.0,
1126,6804821,DSCT,1.0,
1127,6806005,GDORS,,1.0
1128,6806005,GDORS,,1.0
1129,6838565,GDORM,,
1130,6842139,DSCT,1.0,
1131,6844024,DSCT/ROT,1.0,
1132,6848661,DSCT,1.0,
1133,6854623,DSCT,1.0,
1134,6860968,DSCT,1.0,
1135,6862920,DSCT,1.0,1.0
1136,6862920,DSCT,1.0,1.0
1137,6862920,DSCT,1.0,1.0
1138,6864276,GDORS,,1.0
1139,6865077,DSCT,1.0,
1140,6869740,GDORS,2.0,
1141,6871350,GDORS,2.0,
1142,6871866,DSCT/ROT,1.0,
1143,6877258,GDORS,,1.0
1144,6877609,DSCT/ROT,1.0,
1145,6879594,DSCT,1.0,
1146,6891998,DSCT,1.0,1.0
1147,6922690,DSCT,1.0,
1148,6922830,DSCT,1.0,
1149,6923424,GDORS,2.0,1.0
1150,6923424,GDORS,2.0,1.0
1151,6923424,GDORS,2.0,1.0
1152,6937758,DSCT,1.0,
1153,6939203,DSCT,1.0,
1154,6939291,DSCT,1.0,
1155,6945362,GDORS,,1.0
1156,6945500,GDORM,,
1157,6946681,DSCT,1.0,
1158,6946831,GDORS,,
1159,6946871,GDORS,,
1160,6947064,DSCT,1.0,
1161,6947195,GDORA,,1.0
1162,6951231,DSCT,1.0,
1163,6951642,DSCT/ROT,1.0,
1164,6952097,DSCT/MAIA/ROT,,
1165,6952259,GDORS,2.0,1.0
1166,6952259,GDORS,2.0,1.0
1167,6953103,GDORS/EB,,1.0
1168,6961288,GDORS,,
1169,6964804,DSCT,1.0,
1170,6965782,DSCT,,
1171,6965789,DSCT,1.0,
1172,6967360,DSCT,1.0,
1173,6974111,DSCT,1.0,1.0
1174,6975466,DSCT,1.0,
1175,6976420,DSCT,,
1176,7007103,GDORS,,1.0
1177,7007103,GDORS,,1.0
1178,7020707,DSCT/ROT,1.0,
1179,7021890,DSCT,1.0,
1180,7025708,GDORA,,
1181,7032180,GDORS,,
1182,7035099,DSCT,1.0,
1183,7035179,DSCT,1.0,
1184,7035394,GDORS,,1.0
1185,7039007,GDORM,,1.0
1186,7039007,GDORM,,1.0
1187,7045605,DSCT/ROT,1.0,
1188,7045685,DSCT/ROT,1.0,
1189,7047356,DSCT,1.0,
1190,7047963,DSCT,1.0,
1191,7050100,GDORS,,
1192,7050378,GDORA,,1.0
1193,7052048,DSCT/ROT,1.0,
1194,7053456,GDORA,1.0,
1195,7059699,GDORS,2.0,1.0
1196,7060001,GDORS,,
1197,7060333,DSCT/EB,,
1198,7090563,GDORS,,
1199,7101676,DSCT,1.0,
1200,7106205,DSCT,1.0,
1201,7106648,GDORM,1.0,1.0
1202,7106877,DSCT,1.0,
1203,7108883,DSCT/SPB,,
1204,7109598,DSCT,1.0,
1205,7118167,DSCT,1.0,
1206,7119530,DSCT,1.0,
1207,7122746,DSCT,1.0,
1208,7124680,DSCT,1.0,
1209,7125970,DSCT,1.0,
1210,7137351,GDORA,,1.0
1211,7137351,GDORA,,1.0
1212,7137952,DSCT,1.0,
1213,7138415,DSCT,1.0,
1214,7138446,GDORM,,
1215,7173839,DSCT,1.0,
1216,7174372,DSCT/ROT,1.0,
1217,7175943,GDORS,,1.0
1218,7180968,GDORM,,
1219,7181066,DSCT/EB,1.0,
1220,7185924,GDORM,1.0,
1221,7202395,DSCT,1.0,1.0
1222,7202697,GDORS,,
1223,7204237,DSCT,1.0,
1224,7205868,GDORS,,1.0
1225,7207129,GDORA,,
1226,7207672,DSCT,1.0,
1227,7210948,GDORM,,
1228,7211759,DSCT,1.0,
1229,7211991,GDORS,,1.0
1230,7211991,GDORS,,1.0
1231,7212040,DSCT,1.0,
1232,7214475,DSCT,1.0,
1233,7215607,GDORS,,1.0
1234,7215607,GDORS,,1.0
1235,7217483,DSCT,1.0,
1236,7219251,DSCT/EB,1.0,
1237,7219502,DSCT,1.0,
1238,7221584,GDORS,,
1239,7265427,DSCT,1.0,
1240,7269623,GDORS,2.0,
1241,7283317,DSCT,1.0,
1242,7285845,GDORS/GDORA,,1.0
1243,7286276,GDORS,,1.0
1244,7287118,DSCT,1.0,
1245,7287165,GDORS,,1.0
1246,7287328,DSCT/ROT,1.0,
1247,7292935,GDORM/ROT,,
1248,7296877,GDORM,,
1249,7297189,DSCT/ROT,1.0,
1250,7299869,DSCT,1.0,
1251,7300184,DSCT,1.0,
1252,7300387,DSCT,1.0,
1253,7300623,DSCT/ROT,1.0,
1254,7301202,DSCT/ROT,,
1255,7301435,DSCT/EB,1.0,
1256,7301640,DSCT,1.0,
1257,7304385,GDORA,,
1258,7337049,DSCT/ROT,1.0,
1259,7337156,DSCT,1.0,
1260,7344999,GDORS,,1.0
1261,7347529,DSCT,1.0,
1262,7350486,DSCT/ROT,1.0,
1263,7352016,DSCT/ROT,1.0,
1264,7352425,DSCT,1.0,
1265,7352776,DSCT,1.0,
1266,7354213,GDORS/ROT,,
1267,7365537,GDORS,2.0,1.0
