,kic
1032,8429756
1033,8430119
1034,8430210
1035,8439566
1036,8443311
1037,8446738
1038,8450600
1039,8452639
1040,8453431
1041,8453722
1042,8454553
1043,8456728
1044,8456774
1045,8458690
1046,8459354
1047,8460126
1048,8460683
1049,8460993
1050,8461125
1051,8461589
1052,8491816
1053,8504544
1054,8506388
1055,8507325
1056,8510534
1057,8516008
1058,8516686
1059,8517859
1060,8520436
1061,8524464
1062,8525286
1063,8526451
1064,8552907
1065,8556233
1066,8560867
1067,8560996
1068,8563841
1069,8566113
1070,8569819
1071,8570117
1072,8571022
1073,8571529
1074,8572324
1075,8574652
1076,8579615
1077,8580028
1078,8580228
1079,8583770
1080,8589526
1081,8590553
1082,8608260
1083,8620684
1084,8621095
1085,8623953
1086,8625580
1087,8626219
1088,8626462
1089,8639063
1090,8645874
1091,8648356
1092,8650712
1093,8650819
1094,8653563
1095,8654540
1096,8655712
1097,8695156
1098,8712760
1099,8717065
1100,8738244
1101,8750029
1102,8750446
1103,8751056
1104,8752359
1105,8758366
1106,8761309
1107,8766619
1108,8772391
1109,8773961
1110,8778483
1111,8782561
1112,8783270
1113,8819284
1114,8826718
1115,8827821
1116,8842494
1117,8845312
1118,8847349
1119,8869892
1120,8881697
1121,8894630
1122,8906294
1123,8907618
1124,8912468
1125,8912730
1126,8914322
1127,8914866
1128,8916266
1129,8933391
1130,8959745
1131,8963002
1132,8964755
1133,8964935
1134,8972489
1135,8972966
1136,8974140
1137,8975515
1138,8975644
1139,8978630
1140,8979487
1141,8981568
1142,9016467
1143,9020199
1144,9026611
1145,9028104
1146,9028154
1147,9045401
1148,9050337
1149,9051487
1150,9051902
1151,9052363
1152,9054553
1153,9072011
1154,9073007
1155,9092897
1156,9093266
1157,9094694
1158,9097423
1159,9099728
1160,9108615
1161,9108841
1162,9111056
1163,9137447
1164,9138872
1165,9143785
1166,9152634
1167,9156808
1168,9165393
1169,9171954
1170,9172627
1171,9172981
1172,9174121
1173,9178501
1174,9178502
1175,9180906
1176,9201644
1177,9204718
1178,9207344
1179,9210037
1180,9222942
1181,9226081
1182,9227120
1183,9228115
1184,9229318
1185,9229342
1186,9239211
1187,9239681
1188,9241509
1189,9242127
1190,9243464
1191,9243562
1192,9244992
1193,9246481
1194,9265050
1195,9267042
1196,9283128
1197,9285587
1198,9288151
1199,9288175
1200,9291275
1201,9291618
1202,9299980
1203,9300295
1204,9302543
1205,9303041
1206,9304409
1207,9304923
1208,9305574
1209,9305952
1210,9306095
1211,9308371
1212,9324334
1213,9344572
1214,9347095
1215,9351205
1216,9351622
1217,9353572
1218,9364192
1219,9367382
1220,9368220
1221,9369547
1222,9391395
1223,9392416
1224,9402693
1225,9408694
1226,9410527
1227,9413057
1228,9415300
1229,9425403
1230,9425897
1231,9426970
1232,9428798
1233,9429060
1234,9450392
1235,9450940
1236,9453075
1237,9453452
1238,9463183
1239,9466030
1240,9470054
1241,9471419
1242,9473000
1243,9480516
1244,9487871
1245,9488426
1246,9488445
1247,9489590
1248,9489626
1249,9509296
1250,9516796
1251,9529073
1252,9532168
1253,9532644
1254,9533449
1255,9533489
1256,9536515
1257,9550886
1258,9551281
1259,9552758
1260,9578461
1261,9579818
1262,9580794
1263,9588953
1264,9591519
1265,9594022
1266,9594029
1267,9594857
1268,9596093
1269,9596300
1270,9596355
1271,9596469
1272,9597218
1273,9598448
1274,9602542
1275,9604762
1276,9606739
1277,9612468
1278,9612697
1279,9630640
1280,9632537
1281,9636283
1282,9637265
1283,9640891
1284,9642894
1285,9649801
1286,9650390
1287,9650501
1288,9651065
1289,9651298
1290,9653450
1291,9655055
1292,9655114
1293,9655169
1294,9655177
1295,9655392
1296,9655393
1297,9655402
1298,9655404
1299,9655422
1300,9655438
1301,9655444
1302,9655470
1303,9655501
1304,9655514
1305,9655769
1306,9655909
1307,9656348
1308,9656741
1309,9666465
1310,9667584
1311,9673293
1312,9693282
1313,9700145
1314,9700322
1315,9700679
1316,9710475
1317,9713244
1318,9714209
1319,9714633
1320,9715359
1321,9716220
1322,9716385
1323,9716523
1324,9716947
1325,9717861
1326,9724080
1327,9724220
1328,9725543
1329,9730397
1330,9762713
1331,9762866
1332,9764965
1333,9773094
1334,9773512
1335,9773821
1336,9774314
1337,9775385
1338,9775454
1339,9776378
1340,9790479
1341,9791112
1342,9791381
1343,9812351
1344,9812716
